#{"t_start": 1779744377.8609426, "env_id": "None"}
r,l,t
607.0,131,400.79646
597.0,141,402.405258
618.0,128,403.818981
636.0,116,405.18368
627.0,131,406.638355
625.0,89,407.730337
626.0,110,408.949236
-112.0,85,410.013884
614.0,142,411.536525
620.0,114,412.897517
592.0,170,414.717843
594.0,126,416.155678
622.0,122,417.57954
628.0,130,418.995805
-104.0,87,420.073778
619.0,145,421.641244
-8.0,197,423.803517
627.0,115,425.131384
618.0,142,426.660605
611.0,127,428.130708
640.0,122,429.470684
632.0,116,430.810918
601.0,143,432.350631
585.0,175,434.282128
608.0,140,435.880739
627.0,115,437.150855
611.0,121,438.54109
608.0,142,440.080911
637.0,115,441.410665
630.0,136,442.880627
630.0,140,444.390607
620.0,116,445.76078
625.0,131,447.18104
627.0,111,448.482726
627.0,123,449.823707
-114.0,200,452.023047
632.0,132,453.533147
632.0,126,454.903075
626.0,114,456.224906
636.0,112,457.455028
629.0,113,458.777914
632.0,132,460.219261
619.0,111,461.511922
630.0,130,462.94186
610.0,136,464.483542
630.0,110,465.706911
621.0,127,467.168479
639.0,113,468.413029
-132.0,44,469.00762
639.0,103,470.164164
630.0,94,471.296983
613.0,141,472.837627
612.0,142,474.43356
641.0,113,475.685309
632.0,110,476.978948
628.0,134,478.445348
630.0,128,479.921552
632.0,136,481.401922
-90.0,85,482.445405
618.0,142,483.97139
638.0,120,485.364094
-166.0,45,485.947616
637.0,91,487.047086
636.0,100,488.180254
612.0,116,489.525586
626.0,122,490.855281
-90.0,95,492.010004
633.0,105,493.187517
-138.0,46,493.770187
622.0,130,495.253254
627.0,137,496.754894
623.0,123,498.096881
635.0,111,499.337473
635.0,125,500.759471
631.0,103,501.996212
613.0,145,503.564105
634.0,104,504.79434
625.0,117,506.103082
640.0,132,507.611947
628.0,134,509.061703
620.0,122,510.462833
642.0,96,511.542895
-84.0,75,512.495103
625.0,113,513.732116
-82.0,83,514.687851
645.0,119,516.021429
-74.0,88,517.014009
623.0,129,518.512581
643.0,115,519.782111
628.0,130,521.283153
622.0,140,522.803051
634.0,100,523.912049
-86.0,91,524.943973
-120.0,76,525.922311
-138.0,46,526.496663
-114.0,200,528.692079
636.0,136,530.174243
626.0,114,531.507033
632.0,124,532.868243
637.0,119,534.276871
629.0,133,535.712829
642.0,112,537.003801
-90.0,78,537.913609
-146.0,32,538.424294
636.0,120,539.7527
625.0,115,541.114584
638.0,104,542.274216
641.0,109,543.489683
-114.0,59,544.304167
645.0,103,545.435638
-156.0,28,545.853724
632.0,84,546.902555
-78.0,83,547.861996
631.0,91,548.987748
-70.0,99,550.135418
644.0,118,551.5264
-92.0,77,552.41769
642.0,106,553.604008
-110.0,66,554.48262
645.0,115,555.739704
638.0,134,557.300454
645.0,107,558.478983
-96.0,69,559.38605
651.0,105,560.554941
652.0,94,561.628304
637.0,85,562.70293
650.0,102,563.856266
630.0,104,565.096036
656.0,110,566.333633
-134.0,38,566.836231
633.0,115,568.175289
659.0,107,569.371369
654.0,98,570.503622
629.0,113,571.773588
-76.0,89,572.861584
656.0,108,574.055964
622.0,150,575.781816
-164.0,200,577.999258
-78.0,92,579.05011
651.0,107,580.320887
-88.0,86,581.321202
653.0,81,582.235667
632.0,106,583.50633
634.0,108,584.695758
638.0,112,586.016036
648.0,94,587.075999
653.0,99,588.286162
662.0,94,589.345729
653.0,105,590.516165
640.0,112,591.845813
-80.0,89,592.845289
654.0,110,594.146141
-82.0,72,594.995009
629.0,107,596.266099
-86.0,79,597.183537
642.0,104,598.332279
-84.0,78,599.327347
651.0,85,600.296541
-140.0,46,600.996239
650.0,114,602.262802
-84.0,78,603.190682
649.0,101,604.309009
658.0,96,605.391154
639.0,97,606.575197
-76.0,84,607.573101
-96.0,200,609.759665
-78.0,76,610.642154
642.0,86,611.693082
650.0,106,612.903021
648.0,92,614.014025
-82.0,75,614.876983
647.0,109,616.151672
-76.0,80,617.067039
648.0,108,618.273537
653.0,101,619.527344
653.0,89,620.535345
628.0,140,622.143347
655.0,107,623.329771
-80.0,78,624.310043
655.0,103,625.452508
657.0,109,626.731964
-124.0,45,627.304033
651.0,113,628.542217
651.0,93,629.674529
-80.0,77,630.585366
658.0,98,631.673843
-72.0,89,632.788207
654.0,114,634.047282
-82.0,72,634.977283
660.0,92,636.018798
-80.0,75,636.899313
635.0,105,638.12187
-80.0,73,638.976886
649.0,103,640.214742
-144.0,32,640.666817
663.0,103,641.803391
-98.0,66,642.670187
659.0,87,643.677941
-130.0,38,644.203767
656.0,102,645.409854
-80.0,76,646.314884
646.0,104,647.532938
-68.0,83,648.507152
-82.0,200,650.718304
660.0,96,651.814114
657.0,117,653.20007
-80.0,74,654.076707
653.0,81,655.05641
-74.0,76,655.930203
660.0,114,657.186536
-102.0,64,658.02979
653.0,95,659.098016
661.0,101,660.297736
652.0,94,661.357872
-82.0,73,662.209537
668.0,96,663.347616
-80.0,78,664.292104
648.0,96,665.439933
-68.0,89,666.451791
660.0,116,667.799976
662.0,112,669.030016
658.0,102,670.251112
-86.0,76,671.148771
668.0,114,672.409232
-76.0,78,673.401024
662.0,96,674.491793
653.0,85,675.554983
661.0,107,676.746489
-90.0,67,677.605841
664.0,94,678.655902
657.0,105,679.832324
660.0,98,680.92587
-70.0,77,681.861138
664.0,100,683.061083
665.0,115,684.333193
648.0,90,685.498837
-74.0,77,686.386528
653.0,119,687.715198
-132.0,40,688.23805
659.0,89,689.273295
-68.0,80,690.271676
660.0,104,691.415185
-80.0,71,692.258396
-66.0,125,693.706915
672.0,108,694.900416
677.0,85,695.944027
661.0,115,697.219529
659.0,109,698.499637
-86.0,70,699.34336
668.0,120,700.649484
660.0,118,702.005176
-86.0,70,702.845623
-86.0,77,703.801805
665.0,103,704.957039
661.0,99,706.167056
662.0,102,707.328412
-76.0,76,708.216599
652.0,84,709.222382
-82.0,72,710.080302
658.0,96,711.24756
-82.0,73,712.111832
661.0,91,713.130347
-84.0,70,713.975991
-64.0,81,714.893625
662.0,104,716.145221
658.0,94,717.233997
-80.0,72,718.10334
661.0,105,719.377592
-80.0,73,720.221987
651.0,97,721.354702
-80.0,71,722.217418
661.0,97,723.378423
-68.0,80,724.322205
-64.0,81,725.265561
654.0,100,726.450356
675.0,113,727.70011
659.0,101,728.880481
653.0,91,729.922237
-70.0,78,730.926132
662.0,110,732.142108
-70.0,83,733.092167
670.0,110,734.390467
666.0,104,735.550369
660.0,106,736.843463
-68.0,85,737.848164
650.0,94,738.986991
-84.0,68,739.795417
670.0,114,741.179558
-72.0,79,742.115956
666.0,98,743.291559
656.0,98,744.407079
661.0,101,745.551356
660.0,98,746.727216
672.0,108,747.939858
-78.0,77,748.934052
659.0,97,750.047658
-78.0,80,751.064109
666.0,98,752.172592
-74.0,75,753.049519
656.0,108,754.316958
649.0,109,755.552889
672.0,108,756.820027
657.0,103,757.95817
653.0,97,759.1369
-86.0,71,759.973021
666.0,104,761.153405
-74.0,80,762.092459
665.0,109,763.299467
-64.0,91,764.431275
664.0,116,765.710083
-96.0,70,766.624035
663.0,111,767.906985
-96.0,65,768.782133
-66.0,82,769.70665
-104.0,61,770.536813
660.0,104,771.791583
-80.0,71,772.636682
666.0,108,773.963912
665.0,97,775.15829
666.0,98,776.365511
-72.0,80,777.367396
652.0,104,778.627327
657.0,105,779.883778
658.0,104,781.132357
-82.0,73,782.011157
656.0,100,783.238704
-100.0,69,784.144156
-60.0,86,785.131552
662.0,100,786.409303
603.0,157,788.258576
-74.0,77,789.246968
674.0,120,790.609814
-82.0,72,791.590234
670.0,110,792.948193
-102.0,71,793.881917
669.0,101,795.095825
-102.0,66,795.944188
-86.0,70,796.83219
656.0,102,797.955472
637.0,137,799.724237
658.0,98,800.958079
-74.0,75,801.930225
-80.0,76,802.890191
-74.0,80,803.986425
652.0,104,805.174451
656.0,88,806.294434
-80.0,77,807.21563
-50.0,118,808.67939
-84.0,69,809.627045
663.0,107,810.843803
661.0,95,812.055876
647.0,81,813.153872
-82.0,76,814.117359
654.0,94,815.280605
-96.0,63,816.118759
662.0,94,817.233491
653.0,87,818.30156
669.0,133,819.94837
-102.0,63,820.800576
660.0,100,821.958378
-96.0,66,822.992654
599.0,165,824.949691
-194.0,200,827.368621
669.0,109,828.658462
662.0,120,830.139253
-82.0,200,832.460511
-68.0,78,833.411538
656.0,84,834.445536
-88.0,69,835.378383
662.0,102,836.548729
-86.0,70,837.466257
608.0,158,839.404505
650.0,84,840.522136
657.0,139,842.298532
-106.0,53,843.064579
-110.0,62,843.900616
-80.0,74,844.850908
667.0,117,846.298275
-88.0,75,847.271474
670.0,106,848.500568
645.0,77,849.594326
659.0,97,850.736197
-86.0,66,851.604825
-118.0,54,852.344308
655.0,99,853.541582
659.0,95,854.781093
667.0,117,856.178678
-64.0,88,857.250918
-80.0,73,858.193964
666.0,102,859.394758
-62.0,81,860.442102
650.0,100,861.662053
-96.0,61,862.495447
663.0,103,863.692505
-74.0,77,864.727236
636.0,114,866.061985
-72.0,80,867.095933
-96.0,71,868.054
-100.0,60,869.012115
680.0,98,870.184494
-94.0,72,871.195579
-90.0,120,872.677621
-62.0,86,873.653815
-42.0,106,875.002233
653.0,97,876.251986
-72.0,82,877.241609
-70.0,83,878.326212
646.0,92,879.554192
-96.0,69,880.537913
660.0,98,881.877559
-80.0,75,882.763331
-102.0,68,883.67839
-64.0,83,884.670787
660.0,106,886.065579
661.0,105,887.489336
653.0,95,888.754802
-68.0,80,889.810482
662.0,100,891.1752
649.0,89,892.393136
635.0,99,893.62128
-72.0,78,894.598244
676.0,118,896.04618
665.0,109,897.31693
-42.0,96,898.568646
652.0,92,899.764857
-98.0,69,900.788048
672.0,94,901.987247
652.0,98,903.27338
664.0,98,904.540488
-70.0,79,905.601443
660.0,106,906.944681
-64.0,200,909.258213
-72.0,79,910.318615
658.0,100,911.696409
-78.0,72,912.629023
-90.0,75,913.701303
-86.0,113,915.115206
-56.0,88,916.307484
-76.0,76,917.279006
-12.0,200,919.790072
-66.0,86,921.029059
-42.0,126,922.551879
-88.0,74,923.602057
-32.0,105,924.864419
-56.0,92,925.944357
666.0,108,927.291863
651.0,87,928.488148
-56.0,90,929.550974
-74.0,81,930.761266
-56.0,95,932.046782
-72.0,75,932.944999
-108.0,62,933.934265
-104.0,70,934.90066
668.0,102,936.191854
-94.0,71,937.12463
651.0,83,938.253263
659.0,103,939.42965
-82.0,76,940.352197
-80.0,76,941.497689
666.0,108,942.906602
-78.0,78,944.094322
-120.0,64,945.046915
-80.0,73,946.131995
-48.0,94,947.35141
-72.0,79,948.397051
-76.0,84,949.672866
-82.0,75,950.698552
651.0,95,952.03256
-80.0,75,953.078381
653.0,93,954.355221
-104.0,56,955.134688
654.0,106,956.545302
-68.0,200,959.142366
655.0,97,960.442224
-104.0,62,961.405439
643.0,81,962.555829
-78.0,81,963.54304
667.0,99,964.849951
-86.0,69,965.801872
664.0,102,967.114115
-86.0,71,968.087176
-68.0,78,969.132489
-20.0,101,970.359329
670.0,102,971.598339
-80.0,73,972.586798
647.0,89,973.83871
-142.0,34,974.381377
-90.0,67,975.310567
-72.0,77,976.285695
-90.0,67,977.305826
-74.0,76,978.20908
666.0,94,979.450191
-84.0,73,980.420439
645.0,95,981.672909
-104.0,63,982.616756
-100.0,63,983.486318
-80.0,150,985.267001
651.0,91,986.46978
-112.0,58,987.369641
-110.0,59,988.183074
673.0,85,989.25056
647.0,101,990.58549
-132.0,38,991.220736
-116.0,59,992.106134
-82.0,72,993.130771
654.0,104,994.461226
-104.0,64,995.402662
668.0,108,996.82337
-74.0,78,997.916401
-62.0,94,999.12
-108.0,56,1000.009239
-70.0,79,1000.963563
-72.0,77,1002.078868
-78.0,75,1003.170184
-94.0,68,1004.153092
672.0,110,1005.522963
-80.0,75,1006.588928
652.0,90,1007.741211
-100.0,63,1008.660826
-84.0,76,1009.647822
-80.0,76,1010.769253
-34.0,101,1012.043628
-76.0,74,1013.133529
667.0,109,1014.579988
-78.0,74,1015.67328
668.0,110,1017.143115
-70.0,80,1018.248713
-56.0,88,1019.508583
-88.0,69,1020.498702
675.0,123,1022.049026
-70.0,79,1023.078604
665.0,117,1024.588148
-76.0,72,1025.56382
655.0,97,1026.744184
-64.0,85,1027.989006
-78.0,75,1028.999129
-104.0,59,1029.877317
