#{"t_start": 1779749986.0541875, "env_id": "None"}
r,l,t
651.0,93,371.360471
662.0,96,372.438097
656.0,94,373.497705
653.0,105,374.734732
650.0,98,375.8346
644.0,86,376.870741
657.0,89,377.880272
658.0,104,379.039481
663.0,93,380.109292
657.0,93,381.159576
650.0,86,382.220065
651.0,91,383.251185
645.0,79,384.251136
657.0,93,385.291362
651.0,87,386.271523
-120.0,46,386.929893
662.0,98,388.0341
652.0,96,389.114471
654.0,96,390.25303
652.0,98,391.343157
646.0,80,392.343709
656.0,94,393.393168
657.0,93,394.43437
649.0,83,395.47317
-76.0,77,396.356429
639.0,105,397.614043
657.0,95,398.694221
652.0,92,399.724483
652.0,78,400.70343
661.0,89,401.703073
650.0,96,402.86378
-86.0,71,403.694601
663.0,97,404.783372
658.0,90,405.873322
651.0,87,406.86299
654.0,94,407.998652
660.0,94,409.043095
658.0,90,410.054128
650.0,86,411.11358
658.0,96,412.183565
647.0,87,413.253481
657.0,91,414.273223
-92.0,66,415.048106
632.0,118,416.428428
657.0,89,417.432496
643.0,81,418.440067
657.0,99,419.553696
657.0,91,420.590109
652.0,86,421.661656
666.0,100,422.79782
-80.0,200,424.994695
655.0,101,426.127578
664.0,96,427.294981
658.0,96,428.379691
648.0,94,429.51527
659.0,97,430.601494
659.0,91,431.730065
658.0,90,432.751296
-88.0,67,433.550743
647.0,75,434.492439
657.0,89,435.501413
661.0,91,436.53007
664.0,96,437.62983
657.0,93,438.688369
661.0,97,439.869179
656.0,104,441.028447
650.0,86,442.077785
656.0,82,443.029388
657.0,97,444.131477
659.0,97,445.323708
663.0,93,446.37486
-52.0,96,447.55249
669.0,105,448.723797
661.0,95,449.806354
646.0,80,450.828713
650.0,100,451.9546
652.0,90,453.084529
653.0,93,454.1268
664.0,106,455.347809
656.0,92,456.396614
663.0,101,457.528542
658.0,88,458.636522
-84.0,71,459.473412
653.0,89,460.489937
657.0,103,461.739902
654.0,92,462.7909
-68.0,200,465.011268
654.0,96,466.091263
661.0,93,467.222711
660.0,94,468.282577
647.0,81,469.292409
660.0,102,470.447319
657.0,97,471.636831
652.0,92,472.676387
660.0,88,473.67751
646.0,86,474.728539
-94.0,65,475.496919
661.0,93,476.560394
661.0,109,477.870336
651.0,95,478.942429
645.0,81,479.961062
658.0,92,480.995332
658.0,90,482.014949
652.0,96,483.179475
660.0,100,484.304068
652.0,84,485.350494
611.0,129,486.763134
655.0,87,487.844671
657.0,89,488.860088
662.0,96,489.936356
664.0,102,491.172024
644.0,90,492.19882
657.0,93,493.345688
656.0,94,494.41286
-138.0,34,494.87149
660.0,96,496.030107
656.0,100,497.167361
639.0,87,498.245899
655.0,95,499.323121
652.0,94,500.391957
657.0,91,501.490975
654.0,90,502.4998
655.0,85,503.548047
658.0,94,504.628205
660.0,102,505.850913
654.0,96,506.921094
660.0,104,508.11528
648.0,80,509.126199
664.0,102,510.288943
-96.0,66,511.158038
659.0,101,512.295298
659.0,97,513.398671
646.0,90,514.526492
656.0,92,515.572435
-88.0,70,516.396984
654.0,94,517.461587
654.0,92,518.510146
642.0,114,519.85685
661.0,101,521.006154
586.0,162,522.846882
664.0,100,523.959072
642.0,82,524.987316
658.0,90,525.997247
-56.0,89,527.124831
652.0,98,528.207454
659.0,101,529.417231
662.0,92,530.468152
659.0,103,531.63285
-66.0,86,532.722084
650.0,104,533.87297
648.0,88,534.962387
661.0,101,536.102001
655.0,97,537.192008
656.0,94,538.323519
-86.0,72,539.155711
652.0,102,540.371546
-78.0,77,541.263933
-14.0,200,543.463765
-84.0,71,544.293201
-108.0,53,545.032561
661.0,97,546.114734
660.0,102,547.267505
649.0,89,548.380184
634.0,112,549.624796
-104.0,67,550.507346
